Исходное сообщение;Начало сообщения;Фактическое продолжение;LSTM продолжение;DistilGPT2 продолжение;ROUGE-L LSTM;ROUGE-L DistilGPT2;ROUGE-1 LSTM;ROUGE-1 DistilGPT2;
@GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha;@GABBYiSACTiVE brat! You have to rub it in, don't;you.... I want a mocha;you have to be a high speed inter city train;" take my word for it. It's such a good idea!
I";0.2667;0.1176;0.2667;0.2353;
I hate when I have to call and wake people up;I hate when I have to call;and wake people up;on a saturday and i have to get up early; 911. I don't think you can do it anymore. Because I know;0.2857;0.0;0.2857;0.0;
@DAChesterFrench I emailed you yesterday and u never responded;@DAChesterFrench I emailed you yesterday and;u never responded;was on the other hand and the kids are going; I'm sorry for the inconvenience. The service was just as good as we;0.0;0.0;0.0;0.0;
sooo sick of the snow  ughh;sooo sick of the snow;ughh;you want to go to the beach but i have;" that??

I?b?m not sure";0.0;0.0;0.0;0.0;
yes yes still trying to find a picture that will upload correclty..;yes yes still trying to find a picture;that will upload correclty..;##e not really i dont know how to get; of the person who was there?;0.0;0.0;0.0;0.0;
@mrsaintnick hey! i'm leavin in the morning...;@mrsaintnick hey! i'm leavin in;the morning...;sad i dont know what to do with myself;" the last few weeks.

This is a blog post on the topic";0.0;0.1429;0.0;0.1429;
@latroneb oh but there's one bestie missing;@latroneb oh but there's one;bestie missing;at home and i have to go to work in; thing more interesting to see here is that it's the kind of thing that;0.0;0.0;0.0;0.0;
@kpreyes Remember my bum leg? Strikes back this time its serious;@kpreyes Remember my bum leg? Strikes back;this time its serious;that was a good thing to do that i have;. It's a tough thing to do right now. I lost my leg;0.0;0.0;0.0;0.0;
Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and Bioshock 2 I need more cash;Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and;Bioshock 2 I need more cash;i miss the old days i wish i could go;" Call of Duty: Ghosts.

The second installment of the Modern War";0.125;0.0;0.125;0.0;
Back at work  @ John Muir Dr http://loopt.us/KoqAbg;Back at work @ John;Muir Dr http://loopt.us/KoqAbg;is so tired i cant get a flat tire; M. P. Dickerson. The original version of this article appeared in;0.0;0.0;0.0;0.0;
Completely wiped and reloaded the 8900.... Lost all BBM contacts    Going to bed sad.;Completely wiped and reloaded the 8900.... Lost all BBM;contacts Going to bed sad.;xoxo and my 3 year old is not;" and BBS and 1BBS.

""All of these were";0.0;0.0;0.0;0.0;
"Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick world we live in. S...";"Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick";world we live in. She was only 8;me and i have a good day and i have;" man! I am so sick! Please pray for me!
A woman";0.0;0.0;0.0;0.0;
@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. ...;@januarycrimson Sorry, babe!! My fam annoys me too. Thankfully, they're asleep;right now. Muahaha. *evil laugh*;im so tired i dont want to go to;. I've gotten to sleep pretty much all day, and I'm glad;0.0;0.0;0.0;0.0;
